Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident
Snowy,Highway,Morning,0.0,120.0,2.0,0.0,Moderate,Icy,Motorcycle,19.0,0.0,Daylight,1.0
Rainy,City Road,Morning,2.0,50.0,6.0,0.0,None,Wet,Car,59.0,43.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,60.0,3.0,0.0,None,Dry,Car,37.0,20.0,Daylight,0.0
Rainy,Mountain Road,Night,0.0,60.0,2.0,1.0,None,Wet,Car,43.0,27.0,No Light,0.0
Rainy,Mountain Road,Evening,0.0,50.0,2.0,0.0,None,Wet,Car,73.0,51.0,No Light,0.0
Rainy,City Road,Afternoon,2.0,50.0,7.0,0.0,None,Dry,Bus,43.0,31.0,Daylight,0.0
Rainy,City Road,Night,1.0,30.0,4.0,0.0,Low,Dry,Car,24.0,4.0,Artificial Light,1.0
Foggy,Highway,Morning,1.0,100.0,3.0,0.0,Moderate,Wet,Car,59.0,44.0,Daylight,1.0
Snowy,City Road,Night,1.0,50.0,4.0,0.0,Moderate,Icy,Motorcycle,30.0,14.0,Artificial Light,1.0
Clear,City Road,Afternoon,1.0,30.0,3.0,1.0,None,Wet,Car,69.0,52.0,Daylight,0.0
Clear,City Road,Morning,2.0,60.0,5.0,0.0,Moderate,Dry,Car,29.0,22.0,Daylight,1.0
Foggy,Highway,Evening,1.0,100.0,4.0,0.0,None,Under Construction,Motorcycle,75.0,56.0,Daylight,0.0
Rainy,Highway,Morning,0.0,100.0,3.0,0.0,Low,Wet,Car,59.0,38.0,Daylight,1.0
Rainy,City Road,Evening,2.0,30.0,5.0,0.0,None,Wet,Car,23.0,5.0,Daylight,0.0
Snowy,City Road,Evening,2.0,50.0,5.0,0.0,None,Icy,Truck,46.0,16.0,Daylight,0.0
Stormy,City Road,Afternoon,1.0,30.0,3.0,0.0,None,Under Construction,Car,39.0,23.0,Daylight,0.0
Rainy,Rural Road,Afternoon,1.0,60.0,2.0,0.0,None,Wet,Car,63.0,49.0,Daylight,0.0
Clear,Highway,Evening,1.0,120.0,6.0,0.0,None,Wet,Bus,59.0,42.0,Artificial Light,0.0
Clear,Highway,Evening,2.0,100.0,8.0,0.0,None,Dry,Car,46.0,26.0,Daylight,0.0
Foggy,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Wet,Car,67.0,53.0,Daylight,0.0
Snowy,Rural Road,Morning,0.0,80.0,2.0,0.0,Low,Wet,Car,32.0,14.0,Daylight,1.0
Clear,City Road,Night,2.0,60.0,5.0,0.0,None,Dry,Car,62.0,48.0,Artificial Light,0.0
Clear,Highway,Afternoon,2.0,120.0,5.0,0.0,None,Dry,Motorcycle,35.0,13.0,Daylight,0.0
Clear,Rural Road,Evening,2.0,50.0,6.0,0.0,None,Dry,Car,40.0,21.0,Artificial Light,0.0
Rainy,City Road,Night,1.0,50.0,3.0,1.0,None,Wet,Motorcycle,51.0,34.0,Artificial Light,0.0
Stormy,City Road,Night,1.0,50.0,2.0,0.0,Low,Under Construction,Car,51.0,30.0,Artificial Light,1.0
Snowy,City Road,Evening,2.0,50.0,5.0,0.0,Low,Icy,Truck,72.0,53.0,Daylight,1.0
Foggy,City Road,Night,2.0,60.0,4.0,0.0,None,Wet,Car,42.0,20.0,Artificial Light,0.0
Clear,Highway,Night,1.0,120.0,3.0,1.0,None,Under Construction,Car,44.0,26.0,Artificial Light,0.0
Rainy,City Road,Night,2.0,50.0,5.0,0.0,None,Dry,Car,37.0,11.0,Artificial Light,0.0
Rainy,City Road,Morning,2.0,50.0,5.0,0.0,None,Under Construction,Truck,50.0,32.0,Daylight,0.0
Foggy,City Road,Evening,2.0,30.0,6.0,0.0,Low,Dry,Car,29.0,12.0,Daylight,1.0
Foggy,City Road,Morning,1.0,50.0,5.0,0.0,None,Dry,Car,48.0,36.0,Daylight,0.0
Clear,Highway,Afternoon,2.0,100.0,7.0,0.0,Moderate,Wet,Car,72.0,57.0,Daylight,1.0
Stormy,Highway,Evening,2.0,120.0,8.0,0.0,High,Wet,Car,55.0,35.0,Artificial Light,1.0
Rainy,Rural Road,Morning,1.0,80.0,3.0,0.0,Moderate,Wet,Truck,41.0,23.0,Daylight,1.0
Clear,City Road,Afternoon,2.0,50.0,4.0,0.0,None,Dry,Car,55.0,36.0,Daylight,0.0
Clear,Highway,Morning,1.0,80.0,3.0,0.0,None,Dry,Car,60.0,39.0,Daylight,0.0
Snowy,City Road,Morning,2.0,60.0,6.0,0.0,None,Wet,Truck,47.0,29.0,Daylight,0.0
Snowy,Rural Road,Afternoon,1.0,50.0,3.0,0.0,Low,Icy,Truck,59.0,45.0,Daylight,1.0
Foggy,Highway,Morning,1.0,100.0,5.0,1.0,None,Wet,Car,52.0,31.0,Daylight,0.0
Snowy,City Road,Night,0.0,50.0,1.0,0.0,Low,Wet,Car,71.0,53.0,Artificial Light,1.0
Rainy,Mountain Road,Afternoon,0.0,60.0,1.0,1.0,None,Wet,Car,59.0,40.0,Daylight,0.0
Rainy,Rural Road,Afternoon,1.0,80.0,3.0,0.0,None,Dry,Truck,41.0,17.0,Daylight,0.0
Clear,Highway,Afternoon,2.0,100.0,5.0,0.0,None,Dry,Car,31.0,14.0,Daylight,0.0
Foggy,Rural Road,Morning,1.0,50.0,4.0,0.0,None,Dry,Car,33.0,18.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,30.0,2.0,0.0,None,Dry,Car,63.0,45.0,Daylight,0.0
Foggy,City Road,Morning,2.0,50.0,4.0,0.0,None,Under Construction,Car,60.0,45.0,Daylight,0.0
Foggy,City Road,Afternoon,1.0,60.0,6.0,0.0,None,Wet,Truck,20.0,2.0,Daylight,0.0
Stormy,City Road,Evening,2.0,60.0,6.0,0.0,Low,Wet,Car,65.0,46.0,Artificial Light,1.0
Clear,Mountain Road,Morning,1.0,50.0,4.0,0.0,Low,Dry,Truck,73.0,57.0,Daylight,1.0
Clear,City Road,Afternoon,1.0,30.0,5.0,0.0,Low,Dry,Truck,22.0,10.0,Daylight,1.0
Clear,City Road,Morning,2.0,50.0,6.0,0.0,None,Dry,Car,75.0,51.0,Daylight,0.0
Foggy,Highway,Morning,2.0,100.0,5.0,0.0,None,Wet,Truck,53.0,29.0,Daylight,0.0
Clear,Mountain Road,Evening,0.0,50.0,4.0,1.0,None,Wet,Car,27.0,10.0,Artificial Light,0.0
Clear,City Road,Evening,2.0,50.0,5.0,0.0,Moderate,Under Construction,Car,42.0,18.0,Daylight,1.0
Clear,Mountain Road,Afternoon,2.0,30.0,5.0,0.0,None,Wet,Car,34.0,22.0,Daylight,0.0
Rainy,Mountain Road,Afternoon,0.0,30.0,3.0,0.0,None,Wet,Car,58.0,41.0,Daylight,0.0
Foggy,Highway,Evening,0.0,100.0,2.0,0.0,None,Under Construction,Motorcycle,70.0,44.0,Artificial Light,0.0
Rainy,City Road,Afternoon,2.0,50.0,5.0,0.0,None,Wet,Car,27.0,12.0,Daylight,0.0
Rainy,Highway,Afternoon,1.0,100.0,4.0,1.0,None,Wet,Truck,39.0,22.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Dry,Car,74.0,58.0,Daylight,0.0
Clear,Mountain Road,Morning,2.0,50.0,4.0,0.0,None,Dry,Car,49.0,29.0,Daylight,0.0
Rainy,Highway,Afternoon,2.0,100.0,7.0,0.0,Moderate,Dry,Motorcycle,63.0,45.0,Daylight,1.0
Rainy,Mountain Road,Afternoon,0.0,30.0,1.0,0.0,None,Wet,Car,43.0,25.0,Daylight,0.0
Clear,Highway,Evening,2.0,100.0,6.0,0.0,None,Dry,Truck,37.0,18.0,Artificial Light,0.0
Foggy,City Road,Afternoon,0.0,30.0,2.0,0.0,None,Wet,Car,50.0,31.0,Daylight,0.0
Clear,Rural Road,Afternoon,1.0,50.0,4.0,0.0,None,Dry,Motorcycle,43.0,21.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,30.0,4.0,0.0,None,Dry,Car,60.0,58.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,50.0,5.0,0.0,None,Dry,Car,18.0,0.0,Daylight,0.0
Clear,City Road,Evening,2.0,50.0,5.0,0.0,None,Dry,Car,33.0,18.0,Artificial Light,0.0
Clear,Highway,Evening,1.0,80.0,4.0,0.0,None,Dry,Car,38.0,25.0,Daylight,0.0
Foggy,Highway,Evening,0.0,80.0,3.0,0.0,None,Dry,Car,71.0,51.0,Artificial Light,0.0
Clear,Highway,Morning,1.0,100.0,5.0,0.0,None,Dry,Car,32.0,16.0,Daylight,0.0
Rainy,City Road,Evening,0.0,50.0,2.0,0.0,None,Dry,Car,31.0,9.0,Artificial Light,0.0
Clear,Highway,Morning,2.0,80.0,5.0,0.0,None,Dry,Car,42.0,28.0,Daylight,0.0
Clear,City Road,Morning,2.0,30.0,4.0,0.0,None,Wet,Car,56.0,39.0,Daylight,0.0
Rainy,Highway,Evening,1.0,100.0,6.0,0.0,Moderate,Wet,Car,30.0,18.0,Artificial Light,1.0
Rainy,Mountain Road,Night,1.0,50.0,2.0,0.0,None,Wet,Car,70.0,47.0,Artificial Light,0.0
Rainy,City Road,Afternoon,0.0,50.0,1.0,0.0,None,Under Construction,Motorcycle,65.0,50.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,60.0,2.0,0.0,None,Wet,Car,64.0,40.0,Daylight,0.0
Rainy,Highway,Evening,1.0,80.0,4.0,0.0,None,Under Construction,Car,37.0,20.0,Artificial Light,0.0
Foggy,Highway,Afternoon,0.0,120.0,2.0,0.0,None,Dry,Car,61.0,45.0,Daylight,0.0
Clear,Highway,Evening,0.0,120.0,4.0,0.0,None,Dry,Car,57.0,40.0,Artificial Light,0.0
Rainy,Highway,Morning,2.0,100.0,5.0,0.0,Low,Wet,Car,60.0,35.0,Daylight,1.0
Snowy,Highway,Night,0.0,100.0,2.0,0.0,Moderate,Icy,Car,35.0,20.0,No Light,1.0
Clear,Rural Road,Morning,1.0,80.0,3.0,0.0,None,Under Construction,Car,56.0,33.0,Daylight,0.0
Stormy,Highway,Night,0.0,100.0,2.0,1.0,Low,Under Construction,Car,24.0,10.0,No Light,1.0
Rainy,City Road,Evening,2.0,50.0,6.0,0.0,Moderate,Wet,Car,20.0,6.0,Artificial Light,1.0
Foggy,Highway,Night,2.0,100.0,6.0,0.0,Low,Dry,Car,31.0,12.0,Artificial Light,1.0
Rainy,City Road,Morning,2.0,30.0,7.0,0.0,None,Wet,Car,72.0,46.0,Daylight,0.0
Foggy,Rural Road,Afternoon,0.0,80.0,2.0,0.0,None,Dry,Car,37.0,18.0,Daylight,0.0
Foggy,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Under Construction,Car,34.0,17.0,Daylight,0.0
Clear,Highway,Evening,2.0,100.0,6.0,0.0,None,Dry,Car,69.0,54.0,Artificial Light,0.0
Clear,Mountain Road,Evening,0.0,50.0,4.0,0.0,None,Dry,Car,36.0,20.0,Artificial Light,0.0
Clear,Rural Road,Morning,2.0,60.0,5.0,0.0,None,Dry,Bus,45.0,27.0,Daylight,0.0
Snowy,City Road,Night,2.0,50.0,5.0,1.0,Low,Wet,Car,72.0,58.0,Artificial Light,1.0
Stormy,Highway,Morning,1.0,120.0,4.0,1.0,None,Wet,Car,66.0,48.0,Daylight,0.0
Clear,Rural Road,Afternoon,0.0,60.0,1.0,1.0,None,Dry,Car,40.0,24.0,Daylight,0.0
Clear,City Road,Night,0.0,60.0,1.0,0.0,None,Wet,Bus,34.0,28.0,Artificial Light,0.0
Clear,City Road,Evening,2.0,50.0,6.0,0.0,None,Dry,Truck,47.0,26.0,Daylight,0.0
Snowy,Rural Road,Morning,0.0,60.0,3.0,0.0,Low,Icy,Truck,64.0,43.0,Daylight,1.0
Snowy,City Road,Night,0.0,50.0,3.0,0.0,None,Icy,Car,33.0,15.0,Artificial Light,0.0
Rainy,Highway,Afternoon,2.0,100.0,6.0,0.0,None,Wet,Truck,36.0,9.0,Daylight,0.0
Clear,Highway,Morning,2.0,100.0,5.0,0.0,None,Under Construction,Motorcycle,75.0,58.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,100.0,3.0,0.0,None,Dry,Car,33.0,23.0,Daylight,0.0
Clear,Mountain Road,Night,0.0,50.0,1.0,0.0,None,Dry,Car,55.0,36.0,No Light,0.0
Clear,City Road,Night,1.0,60.0,3.0,0.0,None,Dry,Car,60.0,41.0,Artificial Light,0.0
Stormy,City Road,Evening,0.0,60.0,2.0,0.0,None,Under Construction,Car,44.0,24.0,Artificial Light,0.0
Snowy,City Road,Morning,0.0,60.0,4.0,0.0,None,Icy,Car,67.0,39.0,Daylight,0.0
Clear,Mountain Road,Morning,2.0,60.0,5.0,0.0,None,Dry,Car,50.0,30.0,Daylight,0.0
Foggy,Highway,Morning,1.0,100.0,3.0,0.0,None,Wet,Motorcycle,31.0,17.0,Daylight,0.0
Stormy,Highway,Afternoon,1.0,120.0,4.0,0.0,Low,Wet,Car,41.0,25.0,Daylight,1.0
Clear,Rural Road,Morning,2.0,60.0,4.0,0.0,None,Dry,Car,35.0,12.0,Daylight,0.0
Rainy,Highway,Night,0.0,120.0,4.0,0.0,None,Wet,Truck,44.0,20.0,Artificial Light,0.0
Stormy,City Road,Evening,1.0,50.0,4.0,0.0,None,Wet,Car,48.0,30.0,Artificial Light,0.0
Rainy,Rural Road,Night,2.0,50.0,6.0,0.0,None,Wet,Truck,56.0,34.0,No Light,0.0
Clear,Rural Road,Afternoon,1.0,50.0,5.0,0.0,None,Wet,Truck,67.0,47.0,Daylight,0.0
Snowy,Highway,Night,1.0,80.0,4.0,0.0,Moderate,Icy,Car,72.0,50.0,No Light,1.0
Stormy,Highway,Night,1.0,100.0,4.0,0.0,Low,Wet,Car,47.0,34.0,Artificial Light,1.0
Rainy,Rural Road,Evening,1.0,80.0,3.0,0.0,None,Under Construction,Car,44.0,22.0,No Light,0.0
Clear,Highway,Evening,2.0,120.0,6.0,0.0,None,Wet,Car,30.0,17.0,Artificial Light,0.0
Foggy,Mountain Road,Afternoon,0.0,50.0,2.0,0.0,None,Dry,Motorcycle,58.0,41.0,Daylight,0.0
Clear,City Road,Night,2.0,30.0,5.0,0.0,None,Wet,Truck,67.0,45.0,Artificial Light,0.0
Rainy,City Road,Afternoon,1.0,50.0,3.0,0.0,Low,Wet,Car,64.0,45.0,Daylight,1.0
Foggy,City Road,Morning,2.0,30.0,4.0,0.0,Low,Dry,Car,26.0,10.0,Daylight,1.0
Rainy,Rural Road,Morning,1.0,60.0,3.0,0.0,None,Wet,Truck,32.0,21.0,Daylight,0.0
Clear,Mountain Road,Afternoon,0.0,50.0,2.0,0.0,None,Dry,Car,49.0,29.0,Daylight,0.0
Clear,Rural Road,Morning,0.0,80.0,2.0,0.0,None,Dry,Car,60.0,40.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,50.0,4.0,0.0,None,Dry,Car,65.0,49.0,Daylight,0.0
Foggy,City Road,Evening,2.0,50.0,5.0,0.0,Low,Wet,Car,43.0,28.0,Daylight,1.0
Foggy,City Road,Evening,2.0,30.0,5.0,0.0,Moderate,Wet,Motorcycle,37.0,15.0,Artificial Light,1.0
Snowy,Rural Road,Afternoon,1.0,60.0,3.0,0.0,None,Icy,Car,67.0,49.0,Daylight,0.0
Foggy,City Road,Afternoon,1.0,60.0,3.0,0.0,None,Wet,Motorcycle,69.0,44.0,Daylight,0.0
Stormy,City Road,Afternoon,1.0,50.0,4.0,0.0,None,Wet,Car,46.0,33.0,Daylight,0.0
Snowy,Rural Road,Afternoon,0.0,50.0,1.0,0.0,None,Icy,Car,65.0,47.0,Daylight,0.0
Clear,Rural Road,Morning,2.0,80.0,5.0,0.0,None,Dry,Car,59.0,45.0,Daylight,0.0
Foggy,Rural Road,Afternoon,1.0,80.0,2.0,0.0,None,Dry,Car,32.0,17.0,Daylight,0.0
Rainy,City Road,Evening,2.0,50.0,6.0,1.0,Low,Wet,Bus,47.0,35.0,Artificial Light,1.0
Clear,City Road,Night,1.0,60.0,3.0,0.0,None,Dry,Car,75.0,58.0,Artificial Light,0.0
Rainy,City Road,Evening,2.0,50.0,8.0,1.0,None,Wet,Truck,22.0,5.0,Daylight,0.0
Rainy,Highway,Evening,1.0,120.0,4.0,0.0,None,Under Construction,Car,47.0,24.0,Artificial Light,0.0
Clear,City Road,Afternoon,2.0,50.0,5.0,0.0,None,Dry,Truck,75.0,55.0,Daylight,0.0
Clear,City Road,Morning,2.0,60.0,5.0,0.0,None,Dry,Car,58.0,41.0,Daylight,0.0
Snowy,City Road,Afternoon,2.0,50.0,4.0,0.0,Low,Icy,Motorcycle,35.0,16.0,Daylight,1.0
Foggy,Rural Road,Evening,2.0,60.0,5.0,0.0,None,Wet,Car,34.0,13.0,Artificial Light,0.0
Rainy,Mountain Road,Morning,0.0,50.0,2.0,0.0,Low,Under Construction,Motorcycle,44.0,26.0,Daylight,1.0
Foggy,City Road,Afternoon,1.0,60.0,3.0,0.0,None,Dry,Car,57.0,42.0,Daylight,0.0
Stormy,Highway,Evening,1.0,120.0,4.0,0.0,None,Wet,Car,20.0,5.0,Artificial Light,0.0
Rainy,Highway,Night,2.0,100.0,6.0,0.0,None,Wet,Car,72.0,50.0,Artificial Light,0.0
Foggy,Highway,Afternoon,2.0,100.0,7.0,0.0,High,Under Construction,Car,75.0,52.0,Daylight,1.0
Clear,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Dry,Car,46.0,24.0,Daylight,0.0
Stormy,Highway,Afternoon,0.0,120.0,2.0,0.0,Moderate,Wet,Car,40.0,22.0,Daylight,1.0
Rainy,City Road,Evening,2.0,50.0,6.0,0.0,None,Wet,Car,58.0,35.0,Artificial Light,0.0
Snowy,Highway,Morning,1.0,80.0,5.0,0.0,None,Icy,Car,62.0,46.0,Daylight,0.0
Clear,Mountain Road,Afternoon,1.0,50.0,3.0,0.0,None,Dry,Truck,57.0,37.0,Daylight,0.0
Foggy,Rural Road,Evening,1.0,60.0,3.0,0.0,None,Dry,Car,71.0,47.0,Artificial Light,0.0
Clear,City Road,Morning,2.0,30.0,5.0,0.0,None,Dry,Bus,35.0,21.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,60.0,3.0,0.0,Low,Wet,Bus,42.0,30.0,Daylight,1.0
Rainy,Mountain Road,Morning,2.0,50.0,5.0,0.0,None,Wet,Car,60.0,39.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,30.0,4.0,0.0,None,Dry,Car,66.0,50.0,Daylight,0.0
Rainy,Highway,Evening,2.0,100.0,8.0,0.0,High,Wet,Car,66.0,56.0,Daylight,1.0
Foggy,City Road,Evening,2.0,30.0,7.0,0.0,Low,Wet,Motorcycle,59.0,40.0,Daylight,1.0
Clear,City Road,Afternoon,2.0,50.0,7.0,0.0,None,Dry,Car,26.0,10.0,Daylight,0.0
Rainy,Rural Road,Evening,2.0,80.0,8.0,0.0,Low,Wet,Motorcycle,35.0,15.0,Artificial Light,1.0
Rainy,Mountain Road,Evening,1.0,50.0,5.0,0.0,None,Dry,Car,74.0,53.0,Artificial Light,0.0
Snowy,Mountain Road,Morning,2.0,50.0,5.0,0.0,None,Wet,Car,71.0,57.0,Daylight,0.0
Clear,Highway,Morning,1.0,120.0,3.0,0.0,Low,Under Construction,Car,61.0,43.0,Daylight,1.0
Rainy,City Road,Afternoon,2.0,50.0,5.0,0.0,None,Wet,Motorcycle,37.0,11.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,50.0,4.0,0.0,None,Dry,Bus,60.0,37.0,Daylight,0.0
Clear,Highway,Evening,1.0,100.0,6.0,0.0,None,Wet,Car,74.0,57.0,Daylight,0.0
Rainy,Highway,Night,1.0,100.0,4.0,0.0,None,Dry,Car,18.0,3.0,No Light,0.0
Clear,Rural Road,Afternoon,0.0,60.0,2.0,0.0,None,Dry,Car,74.0,58.0,Daylight,0.0
Rainy,Highway,Morning,1.0,100.0,3.0,0.0,None,Wet,Truck,62.0,40.0,Daylight,0.0
Clear,Rural Road,Morning,2.0,80.0,4.0,0.0,None,Dry,Car,45.0,29.0,Daylight,0.0
Rainy,City Road,Afternoon,2.0,60.0,5.0,0.0,None,Wet,Car,72.0,53.0,Daylight,0.0
Clear,Mountain Road,Night,0.0,50.0,3.0,0.0,None,Wet,Car,47.0,35.0,No Light,0.0
Clear,City Road,Afternoon,1.0,30.0,2.0,0.0,None,Dry,Truck,51.0,35.0,Daylight,0.0
Foggy,City Road,Evening,2.0,60.0,7.0,0.0,Moderate,Dry,Car,60.0,47.0,Daylight,1.0
Rainy,City Road,Evening,2.0,30.0,6.0,0.0,None,Wet,Car,18.0,0.0,Artificial Light,0.0
Clear,Mountain Road,Afternoon,1.0,60.0,3.0,0.0,None,Dry,Car,32.0,16.0,Daylight,0.0
Rainy,Rural Road,Afternoon,0.0,60.0,5.0,0.0,None,Wet,Car,74.0,57.0,Daylight,0.0
Stormy,Highway,Night,0.0,100.0,3.0,0.0,None,Wet,Car,68.0,52.0,Artificial Light,0.0
Snowy,Highway,Evening,1.0,80.0,4.0,0.0,None,Icy,Truck,65.0,39.0,Artificial Light,0.0
Clear,City Road,Afternoon,0.0,50.0,2.0,0.0,None,Dry,Car,39.0,25.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,50.0,5.0,0.0,Low,Wet,Bus,22.0,6.0,Daylight,1.0
Clear,City Road,Afternoon,1.0,60.0,3.0,0.0,Low,Dry,Car,67.0,48.0,Daylight,1.0
Rainy,Rural Road,Afternoon,2.0,60.0,4.0,0.0,Low,Wet,Car,67.0,53.0,Daylight,1.0
Rainy,City Road,Evening,2.0,50.0,5.0,0.0,Low,Dry,Truck,59.0,39.0,Daylight,1.0
Clear,City Road,Night,1.0,50.0,4.0,1.0,Low,Dry,Car,67.0,47.0,Artificial Light,1.0
Snowy,Highway,Morning,2.0,100.0,7.0,0.0,High,Icy,Car,54.0,40.0,Daylight,1.0
Foggy,Highway,Night,0.0,100.0,2.0,0.0,None,Dry,Car,24.0,6.0,Artificial Light,0.0
Stormy,City Road,Evening,2.0,60.0,9.0,0.0,Low,Icy,Car,49.0,35.0,Artificial Light,1.0
Snowy,Rural Road,Morning,2.0,80.0,6.0,0.0,Low,Wet,Car,64.0,49.0,Daylight,1.0
Clear,City Road,Evening,2.0,30.0,6.0,0.0,None,Wet,Car,72.0,54.0,Artificial Light,0.0
Clear,City Road,Evening,2.0,30.0,6.0,0.0,None,Dry,Truck,52.0,40.0,Daylight,0.0
Rainy,Highway,Morning,2.0,100.0,8.0,0.0,None,Dry,Car,65.0,47.0,Daylight,0.0
Snowy,City Road,Afternoon,2.0,50.0,5.0,0.0,Low,Dry,Car,22.0,4.0,Daylight,1.0
Rainy,Mountain Road,Morning,0.0,30.0,1.0,1.0,Low,Under Construction,Bus,21.0,2.0,Daylight,1.0
Foggy,Rural Road,Evening,2.0,60.0,7.0,1.0,Moderate,Wet,Motorcycle,67.0,53.0,No Light,1.0
Clear,Highway,Morning,2.0,120.0,7.0,0.0,None,Dry,Truck,37.0,14.0,Daylight,0.0
Snowy,Highway,Afternoon,1.0,120.0,3.0,0.0,Moderate,Icy,Car,73.0,58.0,Daylight,1.0
Clear,City Road,Afternoon,1.0,50.0,3.0,0.0,None,Dry,Car,29.0,16.0,Daylight,0.0
Clear,Mountain Road,Morning,0.0,30.0,1.0,0.0,None,Dry,Car,19.0,1.0,Daylight,0.0
Foggy,City Road,Morning,2.0,50.0,4.0,0.0,Low,Wet,Truck,71.0,58.0,Daylight,1.0
Foggy,City Road,Afternoon,2.0,60.0,5.0,0.0,Low,Wet,Motorcycle,73.0,58.0,Daylight,1.0
Stormy,City Road,Evening,1.0,50.0,6.0,0.0,None,Under Construction,Car,73.0,51.0,Artificial Light,0.0
Clear,Rural Road,Morning,0.0,80.0,2.0,0.0,None,Dry,Car,51.0,31.0,Daylight,0.0
Clear,City Road,Night,1.0,30.0,2.0,0.0,None,Dry,Car,42.0,24.0,Artificial Light,0.0
Clear,City Road,Evening,2.0,30.0,5.0,0.0,None,Under Construction,Car,56.0,34.0,Artificial Light,0.0
Clear,City Road,Afternoon,1.0,60.0,2.0,0.0,Low,Dry,Car,18.0,0.0,Daylight,1.0
Snowy,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Wet,Truck,42.0,17.0,Daylight,0.0
Snowy,Mountain Road,Evening,1.0,30.0,3.0,0.0,None,Dry,Car,36.0,21.0,No Light,0.0
Clear,Highway,Morning,2.0,120.0,6.0,1.0,Moderate,Wet,Car,24.0,3.0,Daylight,1.0
Stormy,Rural Road,Morning,0.0,60.0,2.0,0.0,None,Wet,Car,24.0,0.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,30.0,6.0,0.0,None,Dry,Motorcycle,20.0,7.0,Daylight,0.0
Rainy,Mountain Road,Evening,1.0,30.0,4.0,0.0,Moderate,Wet,Motorcycle,38.0,21.0,Artificial Light,1.0
Rainy,Rural Road,Afternoon,2.0,50.0,5.0,0.0,None,Wet,Bus,65.0,51.0,Daylight,0.0
Clear,Highway,Night,1.0,100.0,4.0,1.0,None,Dry,Car,40.0,24.0,No Light,0.0
Clear,City Road,Night,1.0,60.0,4.0,0.0,Low,Under Construction,Car,52.0,31.0,Artificial Light,1.0
Snowy,City Road,Evening,2.0,60.0,5.0,0.0,Low,Dry,Truck,51.0,38.0,Artificial Light,1.0
Rainy,City Road,Night,1.0,60.0,3.0,0.0,None,Wet,Car,68.0,39.0,No Light,0.0
Clear,Rural Road,Evening,2.0,50.0,5.0,0.0,None,Dry,Car,68.0,51.0,No Light,0.0
Foggy,City Road,Afternoon,2.0,30.0,5.0,0.0,High,Wet,Truck,25.0,16.0,Daylight,1.0
Rainy,City Road,Afternoon,2.0,50.0,4.0,0.0,None,Wet,Motorcycle,52.0,32.0,Daylight,0.0
Foggy,Highway,Afternoon,1.0,100.0,3.0,0.0,Moderate,Wet,Truck,72.0,52.0,Daylight,1.0
Clear,City Road,Evening,2.0,60.0,5.0,1.0,None,Under Construction,Car,54.0,34.0,Artificial Light,0.0
Rainy,City Road,Evening,2.0,50.0,5.0,0.0,None,Wet,Motorcycle,32.0,6.0,Artificial Light,0.0
Stormy,Rural Road,Afternoon,1.0,80.0,2.0,1.0,Moderate,Under Construction,Motorcycle,19.0,6.0,Daylight,1.0
Clear,City Road,Evening,1.0,30.0,4.0,0.0,None,Dry,Truck,64.0,45.0,Artificial Light,0.0
Clear,Highway,Morning,2.0,120.0,6.0,0.0,None,Dry,Car,71.0,56.0,Daylight,0.0
Clear,Rural Road,Afternoon,0.0,60.0,1.0,0.0,None,Wet,Motorcycle,57.0,34.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,60.0,5.0,0.0,None,Dry,Car,67.0,56.0,Daylight,0.0
Stormy,Rural Road,Evening,1.0,50.0,3.0,0.0,None,Icy,Car,41.0,24.0,No Light,0.0
Rainy,Rural Road,Afternoon,0.0,80.0,3.0,0.0,None,Dry,Motorcycle,34.0,14.0,Daylight,0.0
Rainy,Highway,Afternoon,2.0,120.0,5.0,0.0,Low,Wet,Car,74.0,58.0,Daylight,1.0
Clear,Mountain Road,Afternoon,1.0,30.0,4.0,0.0,None,Dry,Car,58.0,49.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,50.0,4.0,0.0,Low,Dry,Car,24.0,1.0,Daylight,1.0
Foggy,Rural Road,Evening,2.0,60.0,5.0,1.0,Low,Dry,Car,39.0,18.0,No Light,1.0
Clear,Rural Road,Evening,1.0,50.0,3.0,0.0,None,Dry,Car,52.0,36.0,No Light,0.0
Clear,City Road,Evening,2.0,50.0,7.0,0.0,None,Dry,Car,68.0,54.0,Daylight,0.0
